opportunity_id,sales_rep,product,product_series,sales_price,account_name,account_sector,account_region,account_size,account_revenue,deal_stage,deal_engage_date,deal_close_date,revenue_from_deal
1C1I7A6R,Moses Frase,GTX Plus Basic,GTX,1096,Cancity,retail,United States,2448,718.62,Won,20-10-2016,01-03-2017,1054
Z063OYW0,Darcel Schlecht,GTX Pro,GTX,4821,Isdom,medical,United States,4540,3178.24,Won,25-10-2016,11-03-2017,4514
EC4QE1BX,Darcel Schlecht,MG Special,MG,55,Cancity,retail,United States,2448,718.62,Won,25-10-2016,07-03-2017,50
MV1LWRNH,Moses Frase,GTX Basic,GTX,550,Codehow,software,United States,2641,2714.9,Won,25-10-2016,09-03-2017,588
PE84CX4O,Zane Levy,GTX Basic,GTX,550,Hatfan,services,United States,1299,792.46,Won,25-10-2016,02-03-2017,517
ZNBS69V1,Anna Snelling,MG Special,MG,55,Ron-tech,medical,United States,6837,3922.42,Won,29-10-2016,01-03-2017,49
9ME3374G,Vicki Laflamme,MG Special,MG,55,J-Texon,retail,United States,3583,1388.67,Won,30-10-2016,02-03-2017,57
7GN8Q4LL,Markita Hansen,GTX Basic,GTX,550,Cheers,entertainment,United States,6472,4269.9,Won,01-11-2016,07-03-2017,601
OLK9LKZB,Niesha Huffines,GTX Plus Basic,GTX,1096,Zumgoity,medical,United States,1210,441.08,Won,01-11-2016,03-03-2017,1026
NL3JZH1Z,Anna Snelling,MG Special,MG,55,Bioholding,medical,Philipines,1356,587.34,Won,04-11-2016,10-03-2017,53
KWVA7VR1,Gladys Colclough,GTX Pro,GTX,4821,Genco Pura Olive Oil Company,retail,Italy,1635,894.33,Lost,04-11-2016,18-03-2017,0
S8DX3XOU,James Ascencio,GTX Plus Pro,GTX,5482,Sunnamplex,marketing,Poland,1593,894.37,Won,04-11-2016,10-03-2017,5169
ENB2XD8G,Maureen Marcano,GTX Plus Pro,GTX,5482,Sonron,telecommunications,United States,5108,1699.85,Won,04-11-2016,06-03-2017,4631
09YE9QOV,Hayden Neloms,MG Advanced,MG,3393,Finjob,employment,United States,3644,2059.9,Won,05-11-2016,11-03-2017,3393
3F5MZNEH,Rosalina Dieter,MG Special,MG,55,Sonron,telecommunications,United States,5108,1699.85,Lost,05-11-2016,03-03-2017,0
M6WEJXC0,Rosalina Dieter,MG Advanced,MG,3393,Scotfind,software,United States,16780,6354.87,Won,05-11-2016,06-03-2017,3284
6PTR7VBR,Versie Hillebrand,MG Special,MG,55,Treequote,telecommunications,United States,8595,5266.09,Won,06-11-2016,05-03-2017,61
902REDPA,Daniell Hammack,GTX Pro,GTX,4821,Xx-zobam,entertainment,United States,8274,3838.39,Lost,07-11-2016,09-03-2017,0
5J9CMGDV,Elease Gluck,MG Special,MG,55,Rantouch,telecommunications,United States,3015,1188.42,Won,07-11-2016,08-03-2017,46
JJXRR8R6,James Ascencio,GTX Plus Pro,GTX,5482,Fasehatice,retail,United States,7523,4968.91,Lost,07-11-2016,17-03-2017,0
WF4HA5NW,Moses Frase,MG Special,MG,55,Ron-tech,medical,United States,6837,3922.42,Won,07-11-2016,18-03-2017,50
C5K2JP1H,Violet Mclelland,GTX Plus Basic,GTX,1096,Vehement Capital Partners,finance,United States,883,646.1,Won,07-11-2016,11-03-2017,1014
ADRB8OMB,Darcel Schlecht,GTX Basic,GTX,550,Warephase,services,United States,5276,2041.73,Won,08-11-2016,26-03-2017,561
SBCR987L,Kami Bicknell,GTX Basic,GTX,550,Zoomit,entertainment,United States,978,324.19,Won,10-11-2016,23-03-2017,590
JSD4APT2,Versie Hillebrand,MG Special,MG,55,Bioholding,medical,Philipines,1356,587.34,Won,10-11-2016,12-03-2017,61
AO9Z2D17,Violet Mclelland,GTX Plus Pro,GTX,5482,Xx-zobam,entertainment,United States,8274,3838.39,Lost,10-11-2016,11-03-2017,0
5M58DTJK,Elease Gluck,MG Special,MG,55,Cheers,entertainment,United States,6472,4269.9,Won,11-11-2016,05-03-2017,58
KNY1OSAB,Maureen Marcano,GTX Pro,GTX,4821,Labdrill,medical,United States,9226,2741.37,Won,11-11-2016,14-03-2017,4899
EAZDUUM9,Rosie Papadopoulos,MG Advanced,MG,3393,Zotware,software,United States,13809,4478.47,Lost,11-11-2016,01-03-2017,0
2STUSOFE,Versie Hillebrand,MG Special,MG,55,dambase,marketing,United States,2928,2173.98,Won,11-11-2016,03-03-2017,67
